,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.2,0.0,0.001,0.95,0.8826,0.1174,2.2805522565681726,2.719825,108793,11207,25,564.9661290322581,16.900164000000007,"TitForTat,OmegaTFT"
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.2,0.0,0.001,0.95,0.89855,0.10145,2.3492470478146417,2.7907,111628,8372,25,704.3129032258065,16.332697,"TitForTat,OmegaTFT"
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=12, bias=True)
  (layer2): Linear(in_features=12, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=2, bias=True)
)",4,12,0.2,0.0,0.001,0.95,0.896975,0.103025,2.3739504222344143,2.86455,114582,5418,21,748.8193548387097,17.222073999999996,"TitForTat,OmegaTFT"
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.2,0.0,0.001,0.95,0.769625,0.230375,2.0023652606400595,2.53395,101358,18642,26,509.39677419354837,20.311793000000005,"TitForTat,OmegaTFT"
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=24, bias=True)
  (layer2): Linear(in_features=24, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=2, bias=True)
)",4,24,0.2,0.0,0.001,0.95,0.66285,0.33715,1.5894772389509602,2.005525,80221,39779,25,590.1209677419355,16.738099,"TitForTat,OmegaTFT"
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",4,32,0.2,0.0,0.001,0.95,0.281575,0.718425,0.4678672895156651,1.513625,60545,59455,25,603.6838709677419,16.296177,"TitForTat,OmegaTFT"
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",8,4,0.2,0.0,0.001,0.95,0.183625,0.816375,0.4443814240810165,1.3158,52632,67368,29,449.0532258064516,19.405184000000002,"TitForTat,OmegaTFT"
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.2,0.0,0.001,0.95,0.902325,0.097675,2.3968046321868894,2.84635,113854,6146,4,810.0548387096774,17.715475999999992,"TitForTat,OmegaTFT"
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=12, bias=True)
  (layer2): Linear(in_features=12, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=2, bias=True)
)",8,12,0.2,0.0,0.001,0.95,0.373425,0.626575,0.6046752247318468,1.3785,55140,64860,25,554.8209677419355,17.343867999999993,"TitForTat,OmegaTFT"
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",8,16,0.2,0.0,0.001,0.95,0.89425,0.10575,2.3167280304837137,2.7955,111820,8180,25,668.0306451612903,17.030683999999997,"TitForTat,OmegaTFT"
10,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=24, bias=True)
  (layer2): Linear(in_features=24, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=2, bias=True)
)",8,24,0.2,0.0,0.001,0.95,0.42265,0.57735,0.44064309758526976,1.628225,65129,54871,19,743.4709677419355,16.462732,"TitForTat,OmegaTFT"
11,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",8,32,0.2,0.0,0.001,0.95,0.3434,0.6566,0.3871998870229898,1.5177,60708,59292,4,773.3693548387097,16.912701000000006,"TitForTat,OmegaTFT"
