,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.2,0.0,0.001,0.95,0.412525,0.587475,1.1162583996167814,1.56525,62610,57390,25,609.1403225806451,18.849598,"TitForTat,OmegaTFT"
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",2,8,0.2,0.0,0.001,0.95,0.878275,0.121725,2.2479770406592543,2.720475,108819,11181,25,646.3032258064516,21.482930999999994,"TitForTat,OmegaTFT"
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=12, bias=True)
  (layer2): Linear(in_features=12, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=2, bias=True)
)",2,12,0.2,0.0,0.001,0.95,0.4072,0.5928,0.4385299305906561,1.332725,53309,66691,25,539.1612903225806,18.026232999999998,"TitForTat,OmegaTFT"
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.2,0.0,0.001,0.95,0.453475,0.546525,1.16756489094433,1.6144,64576,55424,25,546.2596774193548,31.19660900000001,"TitForTat,OmegaTFT"
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=24, bias=True)
  (layer2): Linear(in_features=24, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=2, bias=True)
)",2,24,0.2,0.0,0.001,0.95,0.5683,0.4317,1.2563344790589903,1.68025,67210,52790,25,534.7274193548387,18.15660299999999,"TitForTat,OmegaTFT"
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",2,32,0.2,0.0,0.001,0.95,0.401175,0.598825,0.48338774510403526,1.4462,57848,62152,25,585.3838709677419,24.522039999999997,"TitForTat,OmegaTFT"
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",2,64,0.2,0.0,0.001,0.95,0.89865,0.10135,2.3205570165378973,2.755275,110211,9789,25,667.3048387096774,19.757113999999998,"TitForTat,OmegaTFT"
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.2,0.0,0.001,0.95,0.25395,0.74605,0.7157450821921809,1.3128,52512,67488,30,436.55806451612904,20.009274,"TitForTat,OmegaTFT"
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.2,0.0,0.001,0.95,0.24745,0.75255,0.3443071304602478,1.275925,51037,68963,25,511.68064516129033,24.702119999999994,"TitForTat,OmegaTFT"
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=12, bias=True)
  (layer2): Linear(in_features=12, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=2, bias=True)
)",4,12,0.2,0.0,0.001,0.95,0.55065,0.44935,0.5311944832961734,1.520225,60809,59191,24,707.1838709677419,22.77897500000001,"TitForTat,OmegaTFT"
10,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.2,0.0,0.001,0.95,0.317575,0.682425,0.38662029642707924,1.361425,54457,65543,25,526.5693548387097,24.44475000000001,"TitForTat,OmegaTFT"
11,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=24, bias=True)
  (layer2): Linear(in_features=24, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=2, bias=True)
)",4,24,0.2,0.0,0.001,0.95,0.2321,0.7679,0.370252600768764,1.3927,55708,64292,25,540.5693548387097,17.970004999999997,"TitForTat,OmegaTFT"
