,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.05,0.0,0.001,0.95,0.6985,0.3015,0.1228677681587747,2.432275,97291,22709,25,691.941935483871,17.699745999999994,TitForTat
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.05,0.0,0.01,0.95,0.89235,0.10765,0.16184397055103508,2.81945,112778,7222,24,713.5677419354839,18.715594000000007,TitForTat
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.1,0.0,0.001,0.95,0.42295,0.57705,0.349972550422574,1.98675,79470,40530,25,645.6612903225806,16.599703000000005,TitForTat
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.1,0.0,0.01,0.95,0.936075,0.063925,2.4644797713091138,2.934275,117371,2629,21,733.5354838709677,18.722157,TitForTat
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.2,0.0,0.001,0.95,0.7035,0.2965,0.41986847505362096,2.5382,101528,18472,23,726.8822580645161,18.13951,TitForTat
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.2,0.0,0.01,0.95,0.899325,0.100675,2.398369484128806,2.890525,115621,4379,25,683.0258064516129,16.957325,TitForTat
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.001,0.95,0.947825,0.052175,0.202065322942062,2.924475,116979,3021,25,703.2290322580645,18.035213999999996,TitForTat
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.01,0.95,0.973075,0.026925,2.4855,2.97255,118902,1098,24,715.3967741935484,19.076048999999998,TitForTat
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.1,0.0,0.001,0.95,0.253675,0.746325,1.2631373352751136,1.761675,70467,49533,25,559.858064516129,18.767048000000006,TitForTat
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.1,0.0,0.01,0.95,0.95155,0.04845,2.459378105165338,2.949675,117987,2013,25,695.1758064516129,17.908509000000002,TitForTat
