,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
11,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",1,16,0.2,0.0,0.01,0.95,0.901075,0.098925,2.375248382101059,2.82063,564126,35874,24,719.5870967741936,15.572529999999999,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
12,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.05,0.0,0.001,0.95,0.94744,0.05256,0.07286524976291679,2.8876,577520,22480,25,658.1290322580645,13.750794999999997,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
13,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.05,0.0,0.01,0.95,0.9745,0.0255,2.47197171498972,2.95685,591370,8630,23,709.5354838709677,14.749030000000001,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
14,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.2,0.0,0.001,0.95,0.65711,0.34289,1.2127836581983782,1.627785,325557,274443,25,680.3903225806451,14.007404999999999,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
15,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.2,0.0,0.01,0.95,0.898735,0.101265,2.360543170346662,2.8026,560520,39480,25,686.5693548387097,14.865612999999998,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
16,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",1,64,0.05,0.0,0.001,0.95,0.920455,0.079545,0.11095939665910566,2.80386,560772,39228,24,704.1177419354839,14.509962000000003,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
17,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",1,64,0.05,0.0,0.01,0.95,0.97502,0.02498,2.4752632053756716,2.960945,592189,7811,24,699.2774193548387,15.108489999999998,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
18,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",1,64,0.2,0.0,0.001,0.95,0.90059,0.09941,2.3610909599865857,2.804,560800,39200,25,668.4548387096775,14.355600000000003,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
19,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",1,64,0.2,0.0,0.01,0.95,0.90126,0.09874,2.3705076218064,2.814855,562971,37029,17,757.8403225806452,14.999017000000006,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
20,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",1,128,0.05,0.0,0.001,0.95,0.974405,0.025595,2.4744731929711232,2.959795,591959,8041,23,700.1322580645161,15.208786999999997,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
